red	green	blue
86	63	48	255
34	25	18	255
62	46	37	255
111	76	45	255
34	28	25	255
122	91	71	255
104	91	76	255
45	28	21	255
83	59	46	255
52	38	32	255
62	49	45	255
98	77	67	255
100	80	70	255
126	98	86	255
75	52	43	255
102	91	81	255
70	49	30	255
124	99	76	255
108	80	55	255
70	52	37	255
95	80	64	255
105	91	77	255
37	25	14	255
88	70	54	255
108	83	63	255
116	91	73	255
73	61	48	255
39	34	26	255
52	37	24	255
68	52	43	255
106	83	68	255
66	51	38	255
54	33	28	255
94	72	57	255
121	81	52	255
77	65	51	255
136	99	73	255
103	80	61	255
87	61	40	255
72	45	24	255
56	43	33	255
74	61	49	255
102	82	68	255
81	55	37	255
86	59	38	255
119	86	62	255
124	90	63	255
108	72	49	255
85	61	45	255
67	51	39	255
95	72	58	255
105	82	64	255
63	50	44	255
116	99	90	255
95	74	59	255
99	78	67	255
39	25	13	255
75	54	32	255
113	95	88	255
117	99	91	255
64	42	30	255
46	32	24	255
84	63	49	255
112	84	68	255
67	42	26	255
105	90	81	255
110	81	66	255
64	45	38	255
82	70	58	255
76	63	48	255
71	56	40	255
133	94	70	255
78	59	52	255
113	91	73	255
85	55	40	255
118	84	58	255
77	57	50	255
97	74	57	255
120	87	61	255
119	82	52	255
91	64	40	255
75	62	49	255
113	77	51	255
133	99	73	255
104	80	61	255
57	44	28	255
101	83	73	255
32	28	22	255
78	58	44	255
103	86	71	255
102	68	57	255
76	55	42	255
86	65	48	255
114	86	67	255
75	51	35	255
80	61	50	255
54	43	34	255
90	72	63	255
97	65	44	255
74	49	33	255
84	59	39	255
112	80	58	255
97	85	81	255
122	96	78	255
111	82	65	255
75	54	43	255
96	80	57	255
76	62	45	255
83	64	54	255
70	54	37	255
73	54	48	255
110	88	75	255
65	46	33	255
76	46	29	255
118	83	56	255
114	77	54	255
96	67	48	255
52	39	24	255
90	63	50	255
54	35	28	255
107	87	81	255
101	70	45	255
103	82	61	255
62	45	39	255
49	35	22	255
74	63	49	255
102	84	68	255
115	87	66	255
117	82	52	255
58	43	26	255
48	33	20	255
86	64	45	255
72	48	37	255
108	77	56	255
